Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1975-01-01,72.56,3.62,8.74,52.1,7.5,334.88,16.72,40.35,8.92
1975-02-01,80.1,3.65,8.6,52.5,7.39,366.86,16.7,39.37,9.76
1975-03-01,83.78,3.67,8.45,52.7,7.73,382.26,16.74,38.55,10.16
1975-04-01,84.72,3.68,8.29,52.9,8.23,385.09,16.74,37.67,10.23
1975-05-01,90.1,3.7,8.12,53.2,8.06,407.23,16.71,36.72,10.82
1975-06-01,92.4,3.71,7.96,53.6,7.86,414.51,16.64,35.71,11.01
1975-07-01,92.49,3.71,7.89,54.2,8.06,410.32,16.46,35.02,10.9
1975-08-01,85.71,3.71,7.83,54.3,8.4,379.54,16.43,34.66,10.09
1975-09-01,84.67,3.71,7.76,54.6,8.43,372.88,16.34,34.17,9.92
1975-10-01,88.57,3.7,7.83,54.9,8.14,387.92,16.21,34.28,10.33
1975-11-01,90.07,3.69,7.89,55.3,8.05,391.64,16.04,34.32,10.44
1975-12-01,88.7,3.68,7.96,55.5,8,384.29,15.94,34.49,10.25
1976-01-01,96.86,3.68,8.19,55.6,7.74,418.89,15.93,35.43,11.19
1976-02-01,100.6,3.69,8.43,55.8,7.79,433.5,15.89,36.31,11.59
1976-03-01,101.1,3.69,8.66,55.9,7.73,434.88,15.87,37.25,11.63
1976-04-01,101.9,3.71,8.86,56.1,7.56,436.76,15.92,37.96,11.69
1976-05-01,101.2,3.74,9.05,56.5,7.9,430.68,15.9,38.53,11.53
1976-06-01,101.8,3.76,9.25,56.8,7.86,430.95,15.92,39.16,11.54
1976-07-01,104.2,3.79,9.35,57.1,7.83,438.79,15.96,39.37,11.76
1976-08-01,103.3,3.82,9.45,57.4,7.77,432.73,16,39.59,11.6
1976-09-01,105.5,3.85,9.55,57.6,7.59,440.41,16.07,39.87,11.81
1976-10-01,101.9,3.92,9.67,57.9,7.41,423.18,16.27,40.16,11.35
1976-11-01,101.2,3.98,9.79,58,7.29,419.55,16.51,40.59,11.25
1976-12-01,104.7,4.05,9.91,58.2,6.87,432.56,16.73,40.94,11.6
1977-01-01,103.8,4.1,9.97,58.5,7.21,426.65,16.84,40.97,11.44
1977-02-01,101,4.14,10.02,59.1,7.39,410.92,16.86,40.78,11.01
1977-03-01,100.6,4.19,10.08,59.5,7.46,406.54,16.93,40.74,10.9
1977-04-01,99.05,4.25,10.19,60,7.37,396.95,17.02,40.85,10.64
1977-05-01,98.76,4.3,10.31,60.3,7.46,393.81,17.16,41.1,10.55
1977-06-01,99.29,4.36,10.42,60.7,7.28,393.32,17.27,41.28,10.53
1977-07-01,100.2,4.41,10.52,61,7.33,394.97,17.37,41.46,10.57
1977-08-01,97.75,4.45,10.61,61.2,7.4,384.05,17.5,41.7,10.27
1977-09-01,96.23,4.5,10.71,61.4,7.34,376.85,17.62,41.94,10.07
1977-10-01,93.74,4.56,10.77,61.6,7.52,365.91,17.79,42.04,9.77
1977-11-01,94.28,4.61,10.83,61.9,7.58,366.23,17.92,42.07,9.77
1977-12-01,93.82,4.67,10.89,62.1,7.69,363.27,18.08,42.17,9.68
1978-01-01,90.25,4.71,10.9,62.5,7.96,347.21,18.13,41.93,9.24
1978-02-01,88.98,4.76,10.91,62.9,8.03,340.15,18.18,41.71,9.05
1978-03-01,88.82,4.8,10.92,63.4,8.04,336.86,18.2,41.42,8.95
1978-04-01,92.71,4.84,11.02,63.9,8.15,348.86,18.2,41.48,9.26
1978-05-01,97.41,4.87,11.13,64.5,8.35,363.14,18.17,41.48,9.63
1978-06-01,97.66,4.91,11.23,65.2,8.46,360.16,18.11,41.42,9.55
1978-07-01,97.19,4.95,11.34,65.7,8.64,355.7,18.1,41.51,9.43
1978-08-01,103.9,4.98,11.46,66,8.41,378.53,18.16,41.74,10.02
1978-09-01,103.9,5.02,11.57,66.5,8.42,375.68,18.15,41.83,9.94
1978-10-01,100.6,5.04,11.82,67.1,8.64,360.5,18.05,42.37,9.53
1978-11-01,94.71,5.05,12.08,67.4,8.81,337.88,18.03,43.08,8.93
1978-12-01,96.11,5.07,12.33,67.7,9.01,341.36,18.01,43.79,9.01
1979-01-01,99.71,5.11,12.65,68.3,9.1,351.03,18,44.55,9.26
1979-02-01,98.23,5.16,12.98,69.1,9.1,341.82,17.94,45.16,9
1979-03-01,100.1,5.2,13.3,69.8,9.12,344.83,17.91,45.82,9.07
1979-04-01,102.1,5.25,13.53,70.6,9.18,347.74,17.87,46.07,9.13
1979-05-01,99.73,5.29,13.75,71.5,9.25,335.39,17.8,46.25,8.79
1979-06-01,101.7,5.34,13.98,72.3,8.91,338.23,17.76,46.49,8.85
1979-07-01,102.7,5.4,14.2,73.1,8.95,337.82,17.75,46.7,8.83
1979-08-01,107.4,5.45,14.41,73.8,9.03,349.93,17.77,46.96,9.13
1979-09-01,108.6,5.51,14.63,74.6,9.33,350.04,17.76,47.16,9.11
1979-10-01,104.5,5.56,14.71,75.2,10.3,334.14,17.77,47.02,8.68
1979-11-01,103.7,5.6,14.78,75.9,10.65,328.52,17.75,46.83,8.52
1979-12-01,107.8,5.65,14.86,76.7,10.39,337.95,17.71,46.59,8.75
1980-01-01,110.9,5.7,15,77.8,10.8,342.75,17.62,46.37,8.85
1980-02-01,115.3,5.75,15.15,78.9,12.41,351.38,17.52,46.16,9.05
1980-03-01,104.7,5.8,15.29,80.1,12.75,314.3,17.41,45.9,8.08
1980-04-01,103,5.85,15.17,81,11.47,305.76,17.36,45.04,7.84
1980-05-01,107.7,5.89,15.06,81.8,10.18,316.58,17.32,44.26,8.1
1980-06-01,114.6,5.94,14.94,82.7,9.78,333.2,17.27,43.44,8.51
1980-07-01,119.8,5.98,14.84,82.7,10.25,348.32,17.4,43.15,8.88
1980-08-01,123.5,6.03,14.74,83.3,11.1,356.49,17.4,42.55,9.07
1980-09-01,126.5,6.07,14.64,84,11.51,362.11,17.38,41.91,9.2
1980-10-01,130.2,6.1,14.7,84.8,11.75,369.18,17.3,41.68,9.36
1980-11-01,135.7,6.13,14.76,85.5,12.68,381.63,17.24,41.51,9.65
1980-12-01,133.5,6.16,14.82,86.3,12.84,371.96,17.16,41.29,9.39
1981-01-01,133,6.2,14.74,87,12.57,367.59,17.14,40.74,9.26
1981-02-01,128.4,6.24,14.66,87.9,13.19,351.24,17.07,40.1,8.83
1981-03-01,133.2,6.28,14.58,88.5,13.12,361.9,17.06,39.61,9.08
1981-04-01,134.4,6.32,14.72,89.1,13.68,362.7,17.05,39.73,9.09
1981-05-01,131.7,6.35,14.87,89.8,14.1,352.64,17.01,39.81,8.82
1981-06-01,132.3,6.39,15.01,90.6,13.47,351.12,16.96,39.84,8.77
1981-07-01,129.1,6.43,15.1,91.6,14.28,338.89,16.89,39.63,8.45
1981-08-01,129.6,6.48,15.18,92.3,14.94,337.62,16.87,39.55,8.4
1981-09-01,118.3,6.52,15.27,93.2,15.32,305.21,16.82,39.4,7.58
1981-10-01,119.8,6.56,15.3,93.4,15.15,308.42,16.88,39.39,7.65
1981-11-01,122.9,6.59,15.33,93.7,13.39,315.38,16.92,39.34,7.81
1981-12-01,123.8,6.63,15.36,94,13.72,316.68,16.96,39.29,7.83
1982-01-01,117.3,6.66,15.18,94.3,14.59,299.1,16.98,38.7,7.39
1982-02-01,114.5,6.69,14.99,94.6,14.43,291.03,17,38.11,7.18
1982-03-01,110.8,6.72,14.81,94.5,13.86,281.93,17.1,37.68,6.95
1982-04-01,116.3,6.75,14.6,94.9,13.87,294.67,17.1,36.98,7.26
1982-05-01,116.4,6.78,14.38,95.8,13.62,292.16,17.02,36.1,7.19
1982-06-01,109.7,6.81,14.17,97,14.3,271.93,16.88,35.13,6.69
1982-07-01,109.4,6.82,13.97,97.5,13.95,269.8,16.83,34.44,6.64
1982-08-01,109.7,6.84,13.76,97.7,13.06,269.98,16.83,33.87,6.64
1982-09-01,122.4,6.85,13.56,97.9,12.34,300.63,16.82,33.3,7.4
1982-10-01,132.7,6.86,13.25,98.2,10.91,324.93,16.79,32.45,8
1982-11-01,138.1,6.86,12.95,98,10.55,338.84,16.84,31.77,8.35
1982-12-01,139.4,6.87,12.64,97.6,10.54,343.43,16.93,31.14,8.47
1983-01-01,144.3,6.88,12.57,97.8,10.46,354.78,16.92,30.9,8.76
1983-02-01,146.8,6.9,12.49,97.9,10.72,360.55,16.94,30.68,8.91
1983-03-01,151.9,6.91,12.42,97.9,10.51,373.08,16.97,30.5,9.23
1983-04-01,157.7,6.92,12.48,98.6,10.4,384.58,16.88,30.43,9.53
1983-05-01,164.1,6.93,12.53,99.2,10.38,397.76,16.8,30.38,9.87
1983-06-01,166.4,6.94,12.59,99.5,10.85,402.12,16.77,30.42,10
1983-07-01,167,6.96,12.83,99.9,11.38,401.96,16.75,30.87,10.01
1983-08-01,162.4,6.98,13.06,100.2,11.85,389.71,16.75,31.35,9.73
1983-09-01,167.2,7,13.3,100.7,11.65,399.24,16.71,31.76,9.98
1983-10-01,167.7,7.03,13.54,101,11.54,399.24,16.74,32.24,10
1983-11-01,165.2,7.06,13.79,101.2,11.69,392.52,16.77,32.76,9.85
1983-12-01,164.4,7.09,14.03,101.3,11.83,390.23,16.83,33.3,9.82
1984-01-01,166.4,7.12,14.44,101.9,11.67,392.65,16.8,34.07,9.89
1984-02-01,157.3,7.15,14.85,102.4,11.84,369.37,16.79,34.87,9.32
1984-03-01,157.4,7.18,15.26,102.6,12.32,368.88,16.83,35.76,9.33
1984-04-01,157.6,7.22,15.57,103.1,12.63,367.56,16.85,36.32,9.31
1984-05-01,156.6,7.27,15.89,103.4,13.41,364.17,16.9,36.94,9.23
1984-06-01,153.1,7.31,16.2,103.7,13.56,355,16.95,37.56,9.01
1984-07-01,151.1,7.33,16.32,104.1,13.36,349.01,16.94,37.7,8.87
1984-08-01,164.4,7.36,16.44,104.5,12.72,378.28,16.93,37.83,9.62
1984-09-01,166.1,7.38,16.56,105,12.52,380.37,16.9,37.92,9.69
1984-10-01,164.8,7.43,16.59,105.3,12.16,376.32,16.97,37.88,9.6
1984-11-01,166.3,7.48,16.61,105.3,11.57,379.74,17.08,37.94,9.69
1984-12-01,164.5,7.53,16.64,105.3,11.5,375.63,17.19,38,9.6
1985-01-01,171.6,7.57,16.56,105.5,11.38,391.1,17.26,37.74,10
1985-02-01,180.9,7.62,16.47,106,11.51,410.36,17.28,37.37,10.49
1985-03-01,179.4,7.66,16.39,106.4,11.86,405.42,17.31,37.04,10.37
1985-04-01,180.6,7.69,16.13,106.9,11.43,406.23,17.29,36.28,10.4
1985-05-01,184.9,7.71,15.87,107.3,10.85,414.35,17.29,35.56,10.61
1985-06-01,188.9,7.74,15.61,107.6,10.16,422.13,17.3,34.88,10.81
1985-07-01,192.5,7.77,15.48,107.8,10.31,429.38,17.34,34.54,11
1985-08-01,188.3,7.81,15.36,108,10.33,419.23,17.38,34.19,10.74
1985-09-01,184.1,7.84,15.23,108.3,10.37,408.75,17.41,33.81,10.47
1985-10-01,186.2,7.86,15.02,108.7,10.24,411.89,17.39,33.23,10.55
1985-11-01,197.5,7.88,14.82,109,9.78,435.68,17.38,32.69,11.16
1985-12-01,207.3,7.9,14.61,109.3,9.26,456.04,17.38,32.14,11.69
1986-01-01,208.2,7.94,14.58,109.6,9.19,456.77,17.42,31.99,11.72
1986-02-01,219.4,7.98,14.55,109.3,8.7,482.66,17.56,32.01,12.39
1986-03-01,232.3,8.02,14.52,108.8,7.78,513.39,17.72,32.09,13.19
1986-04-01,238,8.05,14.58,108.6,7.3,526.96,17.82,32.29,13.55
1986-05-01,238.5,8.07,14.65,108.9,7.71,526.61,17.83,32.34,13.56
1986-06-01,245.3,8.1,14.71,109.5,7.8,538.66,17.79,32.3,13.89
1986-07-01,240.2,8.14,14.76,109.5,7.3,527.46,17.88,32.4,13.62
1986-08-01,245,8.19,14.8,109.7,7.17,537.02,17.94,32.45,13.89
1986-09-01,238.3,8.23,14.85,110.2,7.45,519.96,17.96,32.4,13.47
1986-10-01,237.4,8.25,14.73,110.3,7.43,517.53,17.98,32.1,13.43
1986-11-01,245.1,8.26,14.6,110.4,7.25,533.83,18,31.81,13.87
1986-12-01,248.6,8.28,14.48,110.5,7.11,540.96,18.02,31.51,14.09
1987-01-01,264.5,8.3,14.69,111.2,7.08,571.94,17.95,31.76,14.92
1987-02-01,280.9,8.32,14.89,111.6,7.25,605.22,17.93,32.09,15.82
1987-03-01,292.5,8.34,15.1,112.1,7.25,627.4,17.89,32.39,16.43
1987-04-01,289.3,8.4,14.87,112.7,8.02,617.24,17.92,31.73,16.2
1987-05-01,289.1,8.46,14.65,113.1,8.61,614.63,17.99,31.14,16.16
1987-06-01,301.4,8.52,14.42,113.5,8.4,638.52,18.05,30.55,16.83
1987-07-01,310.1,8.57,14.9,113.8,8.45,655.22,18.1,31.48,17.31
1987-08-01,329.4,8.61,15.38,114.4,8.76,692.35,18.1,32.33,18.33
1987-09-01,318.7,8.66,15.86,115,9.42,666.36,18.11,33.16,17.68
1987-10-01,280.2,8.71,16.41,115.3,9.52,584.34,18.16,34.22,15.53
1987-11-01,245,8.76,16.95,115.4,8.86,510.49,18.25,35.32,13.59
1987-12-01,241,8.81,17.5,115.4,8.99,502.16,18.36,36.46,13.39
1988-01-01,250.5,8.86,17.86,115.7,8.67,520.6,18.41,37.12,13.9
1988-02-01,258.1,8.9,18.23,116,8.21,535,18.46,37.78,14.3
1988-03-01,265.7,8.95,18.59,116.5,8.37,548.39,18.47,38.37,14.67
1988-04-01,262.6,9.04,19.62,117.1,8.72,539.22,18.57,40.28,14.43
1988-05-01,256.1,9.14,20.64,117.5,9.09,524.08,18.7,42.24,14.03
1988-06-01,270.7,9.23,21.67,118,8.92,551.61,18.81,44.16,14.77
1988-07-01,269.1,9.31,22.02,118.5,9.06,546.04,18.88,44.69,14.61
1988-08-01,263.7,9.38,22.38,119,9.26,532.83,18.96,45.21,14.24
1988-09-01,268,9.46,22.73,119.8,8.98,537.9,18.99,45.62,14.37
1988-10-01,277.4,9.55,23.07,120.2,8.8,554.92,19.1,46.16,14.81
1988-11-01,271,9.64,23.42,120.3,8.96,541.67,19.27,46.8,14.45
1988-12-01,276.5,9.75,23.75,120.5,9.11,551.74,19.46,47.39,14.7
1989-01-01,285.4,9.81,24.16,121.1,9.09,566.68,19.48,47.97,15.09
1989-02-01,294,9.9,24.56,121.6,9.17,581.35,19.57,48.56,15.47
1989-03-01,292.7,10.01,24.96,122.3,9.36,575.47,19.68,49.07,15.3
1989-04-01,302.3,10.09,25.05,123.1,9.18,590.48,19.7,48.92,15.69
1989-05-01,313.9,10.19,25.13,123.8,8.86,609.67,19.8,48.82,16.19
1989-06-01,323.7,10.37,25.22,124.1,8.28,627.19,20.09,48.87,16.64
1989-07-01,331.9,10.42,24.71,124.4,8.02,641.53,20.15,47.76,17.01
1989-08-01,346.6,10.55,24.2,124.6,8.11,668.86,20.35,46.7,17.73
1989-09-01,347.3,10.73,23.69,125,8.19,668.07,20.64,45.57,17.71
1989-10-01,347.4,10.8,23.43,125.6,8.01,665.07,20.67,44.85,17.64
1989-11-01,340.2,10.92,23.16,125.9,7.87,649.73,20.86,44.24,17.24
1989-12-01,348.6,11.06,22.87,126.1,7.84,664.72,21.09,43.61,17.65
1990-01-01,339.97,11.14,22.49,127.4,8.21,641.65,21.03,42.45,17.05
1990-02-01,330.45,11.23,22.08,128,8.47,620.76,21.1,41.48,16.51
1990-03-01,338.46,11.32,21.67,128.7,8.59,632.35,21.15,40.49,16.83
1990-04-01,338.18,11.44,21.53,128.9,8.79,630.84,21.33,40.17,16.81
1990-05-01,350.25,11.55,21.4,129.2,8.76,651.84,21.5,39.82,17.39
1990-06-01,360.39,11.66,21.26,129.9,8.48,667.1,21.58,39.35,17.82
1990-07-01,360.03,11.73,21.42,130.4,8.47,663.88,21.62,39.5,17.75
1990-08-01,330.75,11.78,21.58,131.6,8.75,604.33,21.53,39.43,16.17
1990-09-01,315.41,11.83,21.74,132.7,8.89,571.52,21.44,39.39,15.3
1990-10-01,307.12,11.93,21.61,133.5,8.72,553.16,21.48,38.92,14.82
1990-11-01,315.29,12.01,21.47,133.8,8.39,566.61,21.59,38.59,15.19
1990-12-01,328.75,12.09,21.34,133.8,8.08,590.8,21.73,38.35,15.85
1991-01-01,325.49,12.11,21.18,134.6,8.09,581.46,21.63,37.84,15.61
1991-02-01,362.26,12.11,21.03,134.8,7.85,646.19,21.61,37.51,17.35
1991-03-01,372.28,12.11,20.94,135,8.11,663.08,21.57,37.3,17.82
1991-04-01,379.68,12.13,20.36,135.2,8.04,675.26,21.57,36.22,18.16
1991-05-01,377.99,12.14,19.86,135.6,8.07,670.27,21.53,35.21,18.04
1991-06-01,378.29,12.15,19.41,136,8.28,668.83,21.48,34.32,18.02
1991-07-01,380.23,12.19,18.84,136.2,8.27,671.27,21.53,33.26,18.1
1991-08-01,389.4,12.24,18.33,136.6,7.9,685.45,21.54,32.27,18.51
1991-09-01,387.2,12.28,17.82,137.2,7.65,678.59,21.52,31.23,18.36
1991-10-01,386.88,12.25,17.2,137.4,7.53,677.04,21.44,30.11,18.35
1991-11-01,385.92,12.23,16.59,137.8,7.42,673.4,21.33,28.94,18.29
1991-12-01,388.51,12.2,15.97,137.9,7.09,677.43,21.27,27.85,18.44
1992-01-01,416.08,12.24,16.05,138.1,7.03,724.45,21.31,27.94,19.77
1992-02-01,412.56,12.28,16.12,138.6,7.34,715.73,21.3,27.97,19.58
1992-03-01,407.36,12.32,16.19,139.3,7.54,703.16,21.27,27.95,19.28
1992-04-01,407.41,12.32,16.48,139.5,7.48,702.24,21.24,28.41,19.3
1992-05-01,414.81,12.32,16.77,139.7,7.39,713.97,21.21,28.86,19.66
1992-06-01,408.27,12.32,17.05,140.2,7.26,700.21,21.13,29.24,19.32
1992-07-01,415.05,12.34,17.38,140.5,6.84,710.32,21.12,29.74,19.62
1992-08-01,417.93,12.37,17.71,140.9,6.59,713.21,21.1,30.22,19.72
1992-09-01,418.48,12.4,18.04,141.3,6.42,712.13,21.1,30.7,19.71
1992-10-01,412.5,12.39,18.39,141.8,6.59,699.48,21,31.18,19.37
1992-11-01,422.84,12.38,18.74,142,6.87,716,20.97,31.73,19.83
1992-12-01,435.64,12.39,19.09,141.9,6.77,738.2,21,32.35,20.45
1993-01-01,435.23,12.41,19.34,142.6,6.6,733.88,20.93,32.61,20.32
1993-02-01,441.7,12.45,19.59,143.1,6.26,742.19,20.91,32.92,20.55
1993-03-01,450.16,12.48,19.84,143.6,5.98,753.77,20.9,33.22,20.86
1993-04-01,443.08,12.49,19.67,144,5.97,739.86,20.86,32.85,20.46
1993-05-01,445.25,12.51,19.5,144.2,6.04,742.45,20.85,32.52,20.52
1993-06-01,448.06,12.52,19.33,144.4,5.96,746.1,20.85,32.19,20.61
1993-07-01,447.29,12.52,19.69,144.4,5.81,744.82,20.85,32.79,20.56
1993-08-01,454.13,12.52,20.05,144.8,5.68,754.12,20.79,33.29,20.81
1993-09-01,459.24,12.52,20.41,145.1,5.36,761.03,20.75,33.82,20.99
1993-10-01,463.9,12.54,20.9,145.7,5.33,765.58,20.7,34.49,21.11
1993-11-01,462.89,12.56,21.39,145.8,5.72,763.39,20.71,35.28,21.04
1993-12-01,465.95,12.58,21.89,145.8,5.77,768.44,20.75,36.1,21.16
1994-01-01,472.99,12.62,22.16,146.2,5.75,777.91,20.76,36.44,21.41
1994-02-01,471.58,12.67,22.43,146.7,5.97,772.95,20.76,36.77,21.26
1994-03-01,463.81,12.71,22.71,147.2,6.48,757.63,20.76,37.1,20.83
1994-04-01,447.23,12.75,23.54,147.4,6.97,729.56,20.8,38.4,20.06
1994-05-01,450.9,12.8,24.37,147.5,7.18,735.05,20.86,39.73,20.2
1994-06-01,454.83,12.84,25.2,148,7.1,738.95,20.86,40.94,20.29
1994-07-01,451.4,12.87,25.91,148.4,7.3,731.4,20.85,41.98,20.07
1994-08-01,464.24,12.9,26.62,149,7.24,749.18,20.82,42.96,20.54
1994-09-01,466.96,12.92,27.33,149.4,7.46,751.55,20.79,43.99,20.58
1994-10-01,463.81,13.01,28.42,149.5,7.74,745.98,20.93,45.71,20.4
1994-11-01,461.01,13.1,29.51,149.7,7.96,740.48,21.04,47.4,20.21
1994-12-01,455.19,13.17,30.6,149.7,7.81,731.14,21.15,49.15,19.91
1995-01-01,465.25,13.18,31.25,150.3,7.78,744.31,21.09,49.99,20.22
1995-02-01,481.92,13.18,31.9,150.9,7.47,767.92,21,50.83,20.8
1995-03-01,493.15,13.17,32.55,151.4,7.2,783.21,20.92,51.7,21.15
1995-04-01,507.91,13.24,33.18,151.9,7.06,804,20.96,52.52,21.64
1995-05-01,523.81,13.31,33.8,152.2,6.63,827.54,21.02,53.4,22.2
1995-06-01,539.35,13.36,34.43,152.5,6.17,850.41,21.07,54.29,22.72
1995-07-01,557.37,13.44,34.68,152.5,6.28,878.82,21.19,54.68,23.38
1995-08-01,559.11,13.51,34.93,152.9,6.49,879.26,21.25,54.93,23.28
1995-09-01,578.77,13.58,35.18,153.2,6.2,908.4,21.31,55.22,23.95
1995-10-01,582.92,13.65,34.77,153.7,6.04,911.93,21.35,54.4,23.93
1995-11-01,595.53,13.72,34.37,153.6,5.93,932.27,21.48,53.8,24.35
1995-12-01,614.57,13.79,33.96,153.5,5.71,962.7,21.6,53.2,25.03
1996-01-01,614.42,13.89,33.99,154.4,5.65,956.85,21.64,52.93,24.76
1996-02-01,649.54,14,34.01,154.9,5.81,1008.28,21.73,52.8,25.98
1996-03-01,647.07,14.1,34.04,155.7,6.27,999.29,21.77,52.57,25.63
1996-04-01,647.17,14.16,34.33,156.3,6.51,995.6,21.78,52.81,25.42
