DATE,PRICE
Dec 1975,2593
Jan 1976,2917
Feb 1976,2304
Mar 1976,2075
Apr 1976,2077
May 1976,2006
Jun 1976,2176
Jul 1976,2081
Aug 1976,2059
Sep 1976,2046
Oct 1976,2011
Nov 1976,1878
Dec 1976,1876
Jan 1977,1803
Feb 1977,1817
Mar 1977,1823
Apr 1977,1746
May 1977,1700
Jun 1977,1682
Jul 1977,1788
Aug 1977,1706
Sep 1977,1664
Oct 1977,1651
Nov 1977,1656
Dec 1977,1614
Jan 1978,1596
Feb 1978,1512
Mar 1978,1521
Apr 1978,1530
May 1978,1310
Jun 1978,1440
Jul 1978,1451
Aug 1978,1424
Sep 1978,1464
Oct 1978,1444
Nov 1978,1475
Dec 1978,1574
Jan 1979,1649
Feb 1979,1598
Mar 1979,1676
Apr 1979,1766
May 1979,1702
Jun 1979,1704
Jul 1979,1640
Aug 1979,1561
Sep 1979,1435
Oct 1979,1389
Nov 1979,1415
Dec 1979,1376
Jan 1980,1429
Feb 1980,1501
Mar 1980,1532
Apr 1980,1420
May 1980,1365
Jun 1980,1332
Jul 1980,1338
Aug 1980,1294
Sep 1980,1272
Oct 1980,1345
Nov 1980,1321
Dec 1980,1358
Jan 1981,1389
Feb 1981,1389
Mar 1981,1501
Apr 1981,1530
May 1981,1433
Jun 1981,1475
Jul 1981,1420
Aug 1981,1367
Sep 1981,1385
Oct 1981,1369
Nov 1981,1391
Dec 1981,1418
Jan 1982,1404
Feb 1982,1444
Mar 1982,1433
Apr 1982,1418
May 1982,1413
Jun 1982,1345
Jul 1982,1303
Aug 1982,1310
Sep 1982,1316
Oct 1982,1303
Nov 1982,1332
Dec 1982,1345
Jan 1983,1380
Feb 1983,1464
Mar 1983,1484
Apr 1983,1519
May 1983,1572
Jun 1983,1693
Jul 1983,1755
Aug 1983,1810
Sep 1983,1967
Oct 1983,2520
Nov 1983,2866
Dec 1983,2661
Jan 1984,2328
Feb 1984,2359
Mar 1984,2284
Apr 1984,2443
May 1984,2540
Jun 1984,2213
Jul 1984,2200
Aug 1984,2434
Sep 1984,2937
Oct 1984,3303
Nov 1984,3497
Dec 1984,3393
Jan 1985,3095
Feb 1985,3263
Mar 1985,3117
Apr 1985,2738
May 1985,2544
Jun 1985,2504
Jul 1985,2760
Aug 1985,2884
Sep 1985,2859
Oct 1985,2590
Nov 1985,2418
Dec 1985,2366
Jan 1986,2359
Feb 1986,2626
Mar 1986,2685
Apr 1986,2740
May 1986,2584
Jun 1986,2769
Jul 1986,2956
Aug 1986,3040
Sep 1986,2743
Oct 1986,2584
Nov 1986,2485
Dec 1986,2447
Jan 1987,2447
Feb 1987,2410
Mar 1987,2471
Apr 1987,2340
May 1987,2218
Jun 1987,2231
Jul 1987,2236
Aug 1987,2319
Sep 1987,2361
Oct 1987,2376
Nov 1987,2206
Dec 1987,2151
Jan 1988,2209
Feb 1988,2232
Mar 1988,2214
Apr 1988,2219
May 1988,2296
Jun 1988,2527
Jul 1988,2513
Aug 1988,2420
Sep 1988,2262
Oct 1988,2162
Nov 1988,2212
Dec 1988,2264
Jan 1989,2212
Feb 1989,2152
Mar 1989,1954
Apr 1989,1799
May 1989,1858
Jun 1989,1927
Jul 1989,1951
Aug 1989,1858
Sep 1989,1647
Oct 1989,1633
Nov 1989,1724
Dec 1989,1807
Jan 1990,1865
Feb 1990,1913
Mar 1990,1881
Apr 1990,2145
May 1990,2363
Jun 1990,2447
Jul 1990,2410
Aug 1990,2505
Sep 1990,2546
Oct 1990,2804
Nov 1990,2981
Dec 1990,3003
Jan 1991,2870
Feb 1991,2920
Mar 1991,2895
Apr 1991,2772
May 1991,2988
Jun 1991,3076
Jul 1991,3040
Aug 1991,2910
Sep 1991,2810
Oct 1991,2982
Nov 1991,2918
Dec 1991,2605
Jan 1992,2545
Feb 1992,2563
Mar 1992,2594
Apr 1992,2659
May 1992,2178
Jun 1992,1984
Jul 1992,2018
Aug 1992,1935
Sep 1992,1960
Oct 1992,2215
Nov 1992,2265
Dec 1992,2427
Jan 1993,2407
Feb 1993,2420
Mar 1993,2389
Apr 1993,2513
May 1993,2611
Jun 1993,2449
Jul 1993,2250
Aug 1993,2104
Sep 1993,2051
Oct 1993,1918
Nov 1993,1761
Dec 1993,1688
Jan 1994,1664
Feb 1994,1747
Mar 1994,1800
Apr 1994,1732
May 1994,1657
Jun 1994,1656
Jul 1994,1620
Aug 1994,1647
Sep 1994,1585
Oct 1994,1574
Nov 1994,1476
Dec 1994,1432
Jan 1995,1413
Feb 1995,1378
Mar 1995,1464
Apr 1995,1510
May 1995,1422
Jun 1995,1639
Jul 1995,1647
Aug 1995,1750
Sep 1995,1723
Oct 1995,1727
Nov 1995,1765
Dec 1995,1844
Jan 1996,1807
Feb 1996,1740
Mar 1996,1682
Apr 1996,1785
May 1996,1752
Jun 1996,1803
Jul 1996,1857
Aug 1996,1962
Sep 1996,1894
Oct 1996,1796
Nov 1996,1852
Dec 1996,1787
Jan 1997,1766
Feb 1997,1742
Mar 1997,1666
Apr 1997,1685
May 1997,1610
Jun 1997,1527
Jul 1997,1466
Aug 1997,1428
Sep 1997,1377
Oct 1997,1434
Nov 1997,1473
Dec 1997,1508
Jan 1998,1561
Feb 1998,1607
Mar 1998,1589
Apr 1998,1597
May 1998,1651
Jun 1998,1588
Jul 1998,1483
Aug 1998,1479
Sep 1998,1486
Oct 1998,1581
Nov 1998,1593
Dec 1998,1650
Jan 1999,1682
Feb 1999,1656
Mar 1999,1588
Apr 1999,1651
May 1999,1685
Jun 1999,1713
Jul 1999,1757
Aug 1999,1790
Sep 1999,1926
Oct 1999,2053
Nov 1999,2202
Dec 1999,2421
Jan 2000,2752
Feb 2000,3000
Mar 2000,2927
Apr 2000,2728
May 2000,2689
Jun 2000,2817
Jul 2000,2844
Aug 2000,2903
Sep 2000,3009
Oct 2000,3130
Nov 2000,3140
Dec 2000,3168
Jan 2001,3247
Feb 2001,3379
Mar 2001,3390
Apr 2001,3242
May 2001,3530
Jun 2001,3608
Jul 2001,3792
Aug 2001,3851
Sep 2001,4056
Oct 2001,4278
Nov 2001,4577
Dec 2001,4744
Jan 2002,4975
Feb 2002,5124
Mar 2002,6404
Apr 2002,8059
May 2002,7223
Jun 2002,7727
Jul 2002,7690
Aug 2002,7623
Sep 2002,7497
Oct 2002,7029
Nov 2002,6681
Dec 2002,5689
Jan 2003,5718
Feb 2003,6465
Mar 2003,7753
Apr 2003,7678
May 2003,7514
Jun 2003,7981
Jul 2003,7500
Aug 2003,7671
Sep 2003,8021
Oct 2003,6957
Nov 2003,6631
Dec 2003,7079
Jan 2004,7941
Feb 2004,8434
Mar 2004,8714
Apr 2004,8356
May 2004,8292
Jun 2004,8407
Jul 2004,7634
Aug 2004,6975
Sep 2004,4895
Oct 2004,3729
Nov 2004,3105
Dec 2004,3260
Jan 2005,3328
Feb 2005,3771
Mar 2005,4437
Apr 2005,4595
May 2005,5013
Jun 2005,5241
Jul 2005,6177
Aug 2005,6196
Sep 2005,6306
Oct 2005,6682
Nov 2005,6977
Dec 2005,7367
Jan 2006,6868
Feb 2006,7467
Mar 2006,7730
Apr 2006,6843
May 2006,6502
Jun 2006,6751
Jul 2006,7303
Aug 2006,7730
Sep 2006,8290
Oct 2006,8458
Nov 2006,9153
Dec 2006,9533
Jan 2007,9881
Feb 2007,9503
Mar 2007,9483
Apr 2007,8932
May 2007,9067
Jun 2007,9650
Jul 2007,8998
Aug 2007,8300
Sep 2007,7394
Oct 2007,7581
Nov 2007,7559
Dec 2007,8062
Jan 2008,8441
Feb 2008,8471
Mar 2008,8286
Apr 2008,7897
May 2008,7428
Jun 2008,7584
Jul 2008,7510
Aug 2008,8088
Sep 2008,8062
Oct 2008,7711
Nov 2008,7966
Dec 2008,8054
Jan 2009,8061
Feb 2009,7652
Mar 2009,7221
Apr 2009,7249
May 2009,7000
Jun 2009,6907
Jul 2009,7186
Aug 2009,7159
Sep 2009,7203
Oct 2009,7071
Nov 2009,7215
Dec 2009,7291
Jan 2010,7149
Feb 2010,6650
Mar 2010,6674
Apr 2010,6891
May 2010,6821
Jun 2010,7113
Jul 2010,7002
Aug 2010,6872
Sep 2010,6737
Oct 2010,6713
Nov 2010,6446
Dec 2010,5831
Jan 2011,5729
Feb 2011,5940
Mar 2011,6042
Apr 2011,6295
May 2011,5833
Jun 2011,5457
Jul 2011,5127
Aug 2011,5217
Sep 2011,5216
Oct 2011,4800
Nov 2011,4639
Dec 2011,4472
Jan 2012,4599
Feb 2012,4954
Mar 2012,4873
Apr 2012,4695
May 2012,4642
Jun 2012,4864
Jul 2012,4751
Aug 2012,4722
Sep 2012,4731
Oct 2012,5450
Nov 2012,5660
Dec 2012,5754
Jan 2013,5940
Feb 2013,5824
Mar 2013,5683
Apr 2013,5599
May 2013,5719
Jun 2013,6014
Jul 2013,6521
Aug 2013,6575
Sep 2013,6824
Oct 2013,6821
Nov 2013,6830
Dec 2013,7032
Jan 2014,6983
Feb 2014,6761
Mar 2014,6807
Apr 2014,6755
May 2014,6872
Jun 2014,6514
Jul 2014,5938
Aug 2014,5994
Sep 2014,6083
Oct 2014,6065
Nov 2014,6004
Dec 2014,5914
Jan 2015,5696
Feb 2015,6393
Mar 2015,6438
Apr 2015,6041
May 2015,5905
Jun 2015,5922
Jul 2015,5670
Aug 2015,5726
Sep 2015,5758
Oct 2015,5860
Nov 2015,6077
Dec 2015,6063
Jan 2016,5688
Feb 2016,5228
Mar 2016,5228
